name,type,year,url,gender,organization,age,country,current_country,description
Sean MacBride,peace,1974,https://www.nobelprize.org/nobel_prizes/peace/laureates/1974/macbride-facts.html,male,FALSE,70,France,France,
Eisaku Sato,peace,1974,https://www.nobelprize.org/nobel_prizes/peace/laureates/1974/sato-facts.html,male,FALSE,73,Japan,Japan,
Patrick White,literature,1973,https://www.nobelprize.org/nobel_prizes/literature/laureates/1973/white-facts.html,male,FALSE,61,United Kingdom,United Kingdom,for an epic and psychological narrative art which has introduced a new continent into literature
Wassily Leontief,economics,1973,https://www.nobelprize.org/nobel_prizes/economics/laureates/1973/leontief-facts.html,male,FALSE,67,Russia,Russia,for the development of the input-output method and for its application to important economic problems
Karl von Frisch,medicine,1973,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1973/frisch-facts.html,male,FALSE,87,Austria,Austria,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
Konrad Lorenz,medicine,1973,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1973/lorenz-facts.html,male,FALSE,70,Austria,Austria,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
Nikolaas Tinbergen,medicine,1973,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1973/tinbergen-facts.html,male,FALSE,66,the Netherlands,the Netherlands,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
Leo Esaki,physics,1973,https://www.nobelprize.org/nobel_prizes/physics/laureates/1973/esaki-facts.html,male,FALSE,48,Japan,Japan,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"
Ivar Giaever,physics,1973,https://www.nobelprize.org/nobel_prizes/physics/laureates/1973/giaever-facts.html,male,FALSE,44,Norway,Norway,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"
Brian David Josephson,physics,1973,https://www.nobelprize.org/nobel_prizes/physics/laureates/1973/josephson-facts.html,male,FALSE,33,United Kingdom,United Kingdom,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects"
Ernst Otto Fischer,chemistry,1973,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1973/fischer-facts.html,male,FALSE,55,Germany,Germany,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"
Geoffrey Wilkinson,chemistry,1973,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1973/wilkinson-facts.html,male,FALSE,52,United Kingdom,United Kingdom,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"
Henry A. Kissinger,peace,1973,https://www.nobelprize.org/nobel_prizes/peace/laureates/1973/kissinger-facts.html,male,FALSE,50,Germany,Germany,
Le Duc Tho,peace,1973,https://www.nobelprize.org/nobel_prizes/peace/laureates/1973/tho-facts.html,male,FALSE,63,Vietnam,Vietnam,
Christian B. Anfinsen,chemistry,1972,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1972/anfinsen-facts.html,male,FALSE,56,USA,USA,"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation"
Stanford Moore,chemistry,1972,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1972/moore-facts.html,male,FALSE,59,USA,USA,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule
William H. Stein,chemistry,1972,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1972/stein-facts.html,male,FALSE,61,USA,USA,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule
Heinrich B´è_ll,literature,1972,https://www.nobelprize.org/nobel_prizes/literature/laureates/1972/boll-facts.html,male,FALSE,55,Germany,Germany,for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature
Gerald M. Edelman,medicine,1972,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1972/edelman-facts.html,male,FALSE,43,USA,USA,for their discoveries concerning the chemical structure of antibodies
Rodney R. Porter,medicine,1972,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1972/porter-facts.html,male,FALSE,55,United Kingdom,United Kingdom,for their discoveries concerning the chemical structure of antibodies
John Bardeen,physics,1972,https://www.nobelprize.org/nobel_prizes/physics/laureates/1972/bardeen-facts.html,male,FALSE,64,USA,USA,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
Leon Neil Cooper,physics,1972,https://www.nobelprize.org/nobel_prizes/physics/laureates/1972/cooper-facts.html,male,FALSE,42,USA,USA,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
John Robert Schrieffer,physics,1972,https://www.nobelprize.org/nobel_prizes/physics/laureates/1972/schrieffer-facts.html,male,FALSE,41,USA,USA,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
John R. Hicks,economics,1972,https://www.nobelprize.org/nobel_prizes/economics/laureates/1972/hicks-facts.html,male,FALSE,68,United Kingdom,United Kingdom,for their pioneering contributions to general economic equilibrium theory and welfare theory
Kenneth J. Arrow,economics,1972,https://www.nobelprize.org/nobel_prizes/economics/laureates/1972/arrow-facts.html,male,FALSE,51,USA,USA,for their pioneering contributions to general economic equilibrium theory and welfare theory
Pablo Neruda,literature,1971,https://www.nobelprize.org/nobel_prizes/literature/laureates/1971/neruda-facts.html,male,FALSE,67,Chile,Chile,for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams
Gerhard Herzberg,chemistry,1971,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1971/herzberg-facts.html,male,FALSE,67,Germany,Germany,"for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals"
"Earl W. Sutherland, Jr.",medicine,1971,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1971/sutherland-facts.html,male,FALSE,56,USA,USA,for his discoveries concerning the mechanisms of the action of hormones
Simon Kuznets,economics,1971,https://www.nobelprize.org/nobel_prizes/economics/laureates/1971/kuznets-facts.html,male,FALSE,70,Russian Empire,Belarus,for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development
Dennis Gabor,physics,1971,https://www.nobelprize.org/nobel_prizes/physics/laureates/1971/gabor-facts.html,male,FALSE,71,Hungary,Hungary,for his invention and development of the holographic method
Willy Brandt,peace,1971,https://www.nobelprize.org/nobel_prizes/peace/laureates/1971/brandt-facts.html,male,FALSE,58,Germany,Germany,
Hannes Olof Gosta Alfven,physics,1970,https://www.nobelprize.org/nobel_prizes/physics/laureates/1970/alfven-facts.html,male,FALSE,62,Sweden,Sweden,for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics
Louis Eugene Felix Neel,physics,1970,https://www.nobelprize.org/nobel_prizes/physics/laureates/1970/neel-facts.html,male,FALSE,66,France,France,for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics
Luis F. Leloir,chemistry,1970,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1970/leloir-facts.html,male,FALSE,64,France,France,for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates
Aleksandr Isayevich Solzhenitsyn,literature,1970,https://www.nobelprize.org/nobel_prizes/literature/laureates/1970/solzhenitsyn-facts.html,male,FALSE,52,Russia,Russia,for the ethical force with which he has pursued the indispensable traditions of Russian literature
Paul A. Samuelson,economics,1970,https://www.nobelprize.org/nobel_prizes/economics/laureates/1970/samuelson-facts.html,male,FALSE,55,USA,USA,for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science
Sir Bernard Katz,medicine,1970,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1970/katz-facts.html,male,FALSE,59,Germany,Germany,"for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation"
Ulf von Euler,medicine,1970,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1970/euler-facts.html,male,FALSE,65,Sweden,Sweden,"for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation"
Julius Axelrod,medicine,1970,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1970/axelrod-facts.html,male,FALSE,58,USA,USA,"for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation"
Norman E. Borlaug,peace,1970,https://www.nobelprize.org/nobel_prizes/peace/laureates/1970/borlaug-facts.html,male,FALSE,56,USA,USA,
Ragnar Frisch,economics,1969,https://www.nobelprize.org/nobel_prizes/economics/laureates/1969/frisch-facts.html,male,FALSE,74,Norway,Norway,for having developed and applied dynamic models for the analysis of economic processes
Jan Tinbergen,economics,1969,https://www.nobelprize.org/nobel_prizes/economics/laureates/1969/tinbergen-facts.html,male,FALSE,66,the Netherlands,the Netherlands,for having developed and applied dynamic models for the analysis of economic processes
Murray Gell-Mann,physics,1969,https://www.nobelprize.org/nobel_prizes/physics/laureates/1969/gell-mann-facts.html,male,FALSE,40,USA,USA,for his contributions and discoveries concerning the classification of elementary particles and their interactions
Samuel Beckett,literature,1969,https://www.nobelprize.org/nobel_prizes/literature/laureates/1969/beckett-facts.html,male,FALSE,63,Ireland,Ireland,"for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation"
Derek H. R. Barton,chemistry,1969,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1969/barton-facts.html,male,FALSE,51,United Kingdom,United Kingdom,for their contributions to the development of the concept of conformation and its application in chemistry
Odd Hassel,chemistry,1969,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1969/hassel-facts.html,male,FALSE,72,Norway,Norway,for their contributions to the development of the concept of conformation and its application in chemistry
Max Delbruck,medicine,1969,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1969/delbruck-facts.html,male,FALSE,63,Germany,Germany,for their discoveries concerning the replication mechanism and the genetic structure of viruses
Alfred D. Hershey,medicine,1969,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1969/hershey-facts.html,male,FALSE,61,USA,USA,for their discoveries concerning the replication mechanism and the genetic structure of viruses
Salvador E. Luria,medicine,1969,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1969/luria-facts.html,male,FALSE,57,Italy,Italy,for their discoveries concerning the replication mechanism and the genetic structure of viruses
International Labour Organization (I.L.O.),peace,1969,https://www.nobelprize.org/nobel_prizes/peace/laureates/1969/labour-facts.html,org,TRUE,,,,
Luis Walter Alvarez,physics,1968,https://www.nobelprize.org/nobel_prizes/physics/laureates/1968/alvarez-facts.html,male,FALSE,57,USA,USA,"for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis"
Yasunari Kawabata,literature,1968,https://www.nobelprize.org/nobel_prizes/literature/laureates/1968/kawabata-facts.html,male,FALSE,69,Japan,Japan,"for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind"
Lars Onsager,chemistry,1968,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1968/onsager-facts.html,male,FALSE,65,Norway,Norway,"for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes"
Robert W. Holley,medicine,1968,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1968/holley-facts.html,male,FALSE,46,USA,USA,for their interpretation of the genetic code and its function in protein synthesis
Har Gobind Khorana,medicine,1968,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1968/khorana-facts.html,male,FALSE,46,India,India,for their interpretation of the genetic code and its function in protein synthesis
Marshall W. Nirenberg,medicine,1968,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1968/nirenberg-facts.html,male,FALSE,41,USA,USA,for their interpretation of the genetic code and its function in protein synthesis
Rene Cassin,peace,1968,https://www.nobelprize.org/nobel_prizes/peace/laureates/1968/cassin-facts.html,male,FALSE,81,France,France,
Hans Albrecht Bethe,physics,1967,https://www.nobelprize.org/nobel_prizes/physics/laureates/1967/bethe-facts.html,male,FALSE,61,Germany,France,"for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars"
Miguel Angel Asturias,literature,1967,https://www.nobelprize.org/nobel_prizes/literature/laureates/1967/asturias-facts.html,male,FALSE,68,Guatemala,Guatemala,"for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America"
Ragnar Granit,medicine,1967,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1967/granit-facts.html,male,FALSE,67,Russian Empire,Finland,for their discoveries concerning the primary physiological and chemical visual processes in the eye
Haldan Keffer Hartline,medicine,1967,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1967/hartline-facts.html,male,FALSE,64,USA,USA,for their discoveries concerning the primary physiological and chemical visual processes in the eye
George Wald,medicine,1967,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1967/wald-facts.html,male,FALSE,61,USA,USA,for their discoveries concerning the primary physiological and chemical visual processes in the eye
Manfred Eigen,chemistry,1967,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1967/eigen-facts.html,male,FALSE,40,Germany,Germany,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"
Ronald George Wreyford Norrish,chemistry,1967,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1967/norrish-facts.html,male,FALSE,70,United Kingdom,United Kingdom,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"
George Porter,chemistry,1967,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1967/porter-facts.html,male,FALSE,47,United Kingdom,United Kingdom,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"
Peyton Rous,medicine,1966,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1966/rous-facts.html,male,FALSE,87,USA,USA,for his discovery of tumour-inducing viruses
Charles Brenton Huggins,medicine,1966,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1966/huggins-facts.html,male,FALSE,65,Canada,Canada,for his discoveries concerning hormonal treatment of prostatic cancer
Robert S. Mulliken,chemistry,1966,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1966/mulliken-facts.html,male,FALSE,70,USA,USA,for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method
Shmuel Yosef Agnon,literature,1966,https://www.nobelprize.org/nobel_prizes/literature/laureates/1966/agnon-facts.html,male,FALSE,78,Austria-Hungary,Ukraine,for his profoundly characteristic narrative art with motifs from the life of the Jewish people
Nelly Sachs,literature,1966,https://www.nobelprize.org/nobel_prizes/literature/laureates/1966/sachs-facts.html,female,FALSE,75,Germany,Germany,"for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength"
Alfred Kastler,physics,1966,https://www.nobelprize.org/nobel_prizes/physics/laureates/1966/kastler-facts.html,male,FALSE,64,Germany,France,for the discovery and development of optical methods for studying Hertzian resonances in atoms
Robert Burns Woodward,chemistry,1965,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1965/woodward-facts.html,male,FALSE,48,USA,USA,for his outstanding achievements in the art of organic synthesis
Mikhail Aleksandrovich Sholokhov,literature,1965,https://www.nobelprize.org/nobel_prizes/literature/laureates/1965/sholokhov-facts.html,male,FALSE,60,Russia,Russia,"for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people"
Francois Jacob,medicine,1965,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1965/jacob-facts.html,male,FALSE,45,France,France,for their discoveries concerning genetic control of enzyme and virus synthesis
Andre Lwoff,medicine,1965,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1965/lwoff-facts.html,male,FALSE,63,France,France,for their discoveries concerning genetic control of enzyme and virus synthesis
Jacques Monod,medicine,1965,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1965/monod-facts.html,male,FALSE,55,France,France,for their discoveries concerning genetic control of enzyme and virus synthesis
Sin-Itiro Tomonaga,physics,1965,https://www.nobelprize.org/nobel_prizes/physics/laureates/1965/tomonaga-facts.html,male,FALSE,59,Japan,Japan,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"
Julian Schwinger,physics,1965,https://www.nobelprize.org/nobel_prizes/physics/laureates/1965/schwinger-facts.html,male,FALSE,47,USA,USA,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"
Richard P. Feynman,physics,1965,https://www.nobelprize.org/nobel_prizes/physics/laureates/1965/feynman-facts.html,male,FALSE,47,USA,USA,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"
United Nations Children's Fund (UNICEF),peace,1965,https://www.nobelprize.org/nobel_prizes/peace/laureates/1965/unicef-facts.html,org,TRUE,,,,
Charles Hard Townes,physics,1964,https://www.nobelprize.org/nobel_prizes/physics/laureates/1964/townes-facts.html,male,FALSE,49,USA,USA,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
Nicolay Gennadiyevich Basov,physics,1964,https://www.nobelprize.org/nobel_prizes/physics/laureates/1964/basov-facts.html,male,FALSE,42,USSR,Russia,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
Aleksandr Mikhailovich Prokhorov,physics,1964,https://www.nobelprize.org/nobel_prizes/physics/laureates/1964/prokhorov-facts.html,male,FALSE,48,Australia,Australia,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle"
Dorothy Crowfoot Hodgkin,chemistry,1964,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1964/hodgkin-facts.html,female,FALSE,54,Egypt,Egypt,for her determinations by X-ray techniques of the structures of important biochemical substances
Jean-Paul Sartre,literature,1964,https://www.nobelprize.org/nobel_prizes/literature/laureates/1964/sartre-facts.html,male,FALSE,59,France,France,"for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age"
Konrad Bloch,medicine,1964,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1964/bloch-facts.html,male,FALSE,52,Germany,Poland,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism
Feodor Lynen,medicine,1964,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1964/lynen-facts.html,male,FALSE,53,Germany,Germany,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism
Martin Luther King Jr.,peace,1964,https://www.nobelprize.org/nobel_prizes/peace/laureates/1964/king-facts.html,male,FALSE,35,USA,USA,
Eugene Paul Wigner,physics,1963,https://www.nobelprize.org/nobel_prizes/physics/laureates/1963/wigner-facts.html,male,FALSE,61,Austria-Hungary,Hungary,"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles"
Maria Goeppert Mayer,physics,1963,https://www.nobelprize.org/nobel_prizes/physics/laureates/1963/mayer-facts.html,female,FALSE,57,Germany,Poland,for their discoveries concerning nuclear shell structure
J. Hans D. Jensen,physics,1963,https://www.nobelprize.org/nobel_prizes/physics/laureates/1963/jensen-facts.html,male,FALSE,56,Germany,Germany,for their discoveries concerning nuclear shell structure
Giorgos Seferis,literature,1963,https://www.nobelprize.org/nobel_prizes/literature/laureates/1963/seferis-facts.html,male,FALSE,63,Ottoman Empire,Turkey,"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture"
Sir John Carew Eccles,medicine,1963,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1963/eccles-facts.html,male,FALSE,60,Australia,Australia,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
Alan Lloyd Hodgkin,medicine,1963,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1963/hodgkin-facts.html,male,FALSE,49,United Kingdom,United Kingdom,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
Andrew Fielding Huxley,medicine,1963,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1963/huxley-facts.html,male,FALSE,46,United Kingdom,United Kingdom,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
Karl Ziegler,chemistry,1963,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1963/ziegler-facts.html,male,FALSE,65,Germany,Germany,for their discoveries in the field of the chemistry and technology of high polymers
Giulio Natta,chemistry,1963,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1963/natta-facts.html,male,FALSE,60,Italy,Italy,for their discoveries in the field of the chemistry and technology of high polymers
Comite international de la Croix Rouge (International Committee of the Red Cross),peace,1963,https://www.nobelprize.org/nobel_prizes/peace/laureates/1963/red-cross-facts.html,org,TRUE,,,,
Ligue des Socies de la Croix-Rouge (League of Red Cross Societies),peace,1963,https://www.nobelprize.org/nobel_prizes/peace/laureates/1963/red-cross-league-facts.html,org,TRUE,,,,
Lev Davidovich Landau,physics,1962,https://www.nobelprize.org/nobel_prizes/physics/laureates/1962/landau-facts.html,male,FALSE,54,Russian Empire,Azerbaijan,"for his pioneering theories for condensed matter, especially liquid helium"
John Steinbeck,literature,1962,https://www.nobelprize.org/nobel_prizes/literature/laureates/1962/steinbeck-facts.html,male,FALSE,60,USA,USA,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception"
Francis Harry Compton Crick,medicine,1962,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1962/crick-facts.html,male,FALSE,46,United Kingdom,United Kingdom,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
James Dewey Watson,medicine,1962,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1962/watson-facts.html,male,FALSE,34,USA,USA,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
Maurice Hugh Frederick Wilkins,medicine,1962,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1962/wilkins-facts.html,male,FALSE,46,New Zealand,New Zealand,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
Max Ferdinand Perutz,chemistry,1962,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1962/perutz-facts.html,male,FALSE,48,Austria,Austria,for their studies of the structures of globular proteins
John Cowdery Kendrew,chemistry,1962,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1962/kendrew-facts.html,male,FALSE,45,United Kingdom,United Kingdom,for their studies of the structures of globular proteins
Linus Carl Pauling,peace,1962,https://www.nobelprize.org/nobel_prizes/peace/laureates/1962/pauling-facts.html,male,FALSE,61,USA,USA,
Georg von Bekesy,medicine,1961,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1961/bekesy-facts.html,male,FALSE,62,Hungary,Hungary,for his discoveries of the physical mechanism of stimulation within the cochlea
Robert Hofstadter,physics,1961,https://www.nobelprize.org/nobel_prizes/physics/laureates/1961/hofstadter-facts.html,male,FALSE,46,USA,USA,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons
Rudolf Ludwig Mossbauer,physics,1961,https://www.nobelprize.org/nobel_prizes/physics/laureates/1961/mossbauer-facts.html,male,FALSE,32,Germany,Germany,for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name
Melvin Calvin,chemistry,1961,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1961/calvin-facts.html,male,FALSE,50,USA,USA,for his research on the carbon dioxide assimilation in plants
Ivo Andric,literature,1961,https://www.nobelprize.org/nobel_prizes/literature/laureates/1961/andric-facts.html,male,FALSE,69,Bosnia,Bosnia and Herzegovina,for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country
Dag Hjalmar Agne Carl Hammarskjold,peace,1961,https://www.nobelprize.org/nobel_prizes/peace/laureates/1961/hammarskjold-facts.html,male,FALSE,56,Sweden,Sweden,
Sir Frank Macfarlane Burnet,medicine,1960,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1960/burnet-facts.html,male,FALSE,61,Australia,Australia,for discovery of acquired immunological tolerance
Peter Brian Medawar,medicine,1960,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1960/medawar-facts.html,male,FALSE,45,Brazil,Brazil,for discovery of acquired immunological tolerance
Willard Frank Libby,chemistry,1960,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1960/libby-facts.html,male,FALSE,52,USA,USA,"for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science"
Donald Arthur Glaser,physics,1960,https://www.nobelprize.org/nobel_prizes/physics/laureates/1960/glaser-facts.html,male,FALSE,34,USA,USA,for the invention of the bubble chamber
Saint-John Perse,literature,1960,https://www.nobelprize.org/nobel_prizes/literature/laureates/1960/perse-facts.html,male,FALSE,73,Guadeloupe Island,Guadeloupe Island,for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time
Albert John Lutuli,peace,1960,https://www.nobelprize.org/nobel_prizes/peace/laureates/1960/lutuli-facts.html,male,FALSE,62,Southern Rhodesia,Zimbabwe,
Jaroslav Heyrovsky,chemistry,1959,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1959/heyrovsky-facts.html,male,FALSE,69,Austria-Hungary,Czech Republic,for his discovery and development of the polarographic methods of analysis
Salvatore Quasimodo,literature,1959,https://www.nobelprize.org/nobel_prizes/literature/laureates/1959/quasimodo-facts.html,male,FALSE,58,Italy,Italy,"for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times"
Emilio Gino Segre,physics,1959,https://www.nobelprize.org/nobel_prizes/physics/laureates/1959/segre-facts.html,male,FALSE,54,Italy,Italy,for their discovery of the antiproton
Owen Chamberlain,physics,1959,https://www.nobelprize.org/nobel_prizes/physics/laureates/1959/chamberlain-facts.html,male,FALSE,39,USA,USA,for their discovery of the antiproton
Severo Ochoa,medicine,1959,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1959/ochoa-facts.html,male,FALSE,54,Spain,Spain,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
Arthur Kornberg,medicine,1959,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1959/kornberg-facts.html,male,FALSE,41,USA,USA,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
Philip J. Noel-Baker,peace,1959,https://www.nobelprize.org/nobel_prizes/peace/laureates/1959/noel-baker-facts.html,male,FALSE,70,United Kingdom,United Kingdom,
Boris Leonidovich Pasternak,literature,1958,https://www.nobelprize.org/nobel_prizes/literature/laureates/1958/pasternak-facts.html,male,FALSE,68,Russia,Russia,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition
Frederick Sanger,chemistry,1958,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/1958/sanger-facts.html,male,FALSE,40,United Kingdom,United Kingdom,"for his work on the structure of proteins, especially that of insulin"
Pavel Alekseyevich Cherenkov,physics,1958,https://www.nobelprize.org/nobel_prizes/physics/laureates/1958/cerenkov-facts.html,male,FALSE,54,Russia,Russia,for the discovery and the interpretation of the Cherenkov effect
Ilja Mikhailovich Frank,physics,1958,https://www.nobelprize.org/nobel_prizes/physics/laureates/1958/frank-facts.html,male,FALSE,50,Russia,Russia,for the discovery and the interpretation of the Cherenkov effect
Igor Yevgenyevich Tamm,physics,1958,https://www.nobelprize.org/nobel_prizes/physics/laureates/1958/tamm-facts.html,male,FALSE,63,Russia,Russia,for the discovery and the interpretation of the Cherenkov effect
George Wells Beadle,medicine,1958,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1958/beadle-facts.html,male,FALSE,55,USA,USA,for their discovery that genes act by regulating definite chemical events
Edward Lawrie Tatum,medicine,1958,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1958/tatum-facts.html,male,FALSE,49,USA,USA,for their discovery that genes act by regulating definite chemical events
Joshua Lederberg,medicine,1958,https://www.nobelprize.org/nobel_prizes/medicine/laureates/1958/lederberg-facts.html,male,FALSE,33,USA,USA,for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria
